id,section,question,correctAnswer,choice1,choice2,choice3
1,photo,there are a table,there is a table,there are table,there are a tables
2,photo,boxes are stocked,boxes are stacked,boxes are storing,boxes are stock
3,opinion,companies can save their money,companies can save money,companies save the money,companies can saving money
4,photo,same clothings,similar uniforms,same clotheses,same uniforms
5,photo,very in a very fun atmosphere,They seem relaxed.,They are very atmosphere.,They are fun atmosphere.
6,photo,the other woman who wears pink t-shirts,the other woman is wearing a pink T-shirt,the other woman wear pink T-shirt,the other woman wearing pink T-shirts
7,photo,they are confused which line they should go,They may be wondering where to go.,They are confused where line go.,They are confusion which line.
8,photo,there are a lot of people to try to pass the gate,Many people are waiting in line to go through security.,Many people to try pass gate.,Many people are passing gate.
9,photo,there are shelves. Also in them, there are boxes stored.,There are shelves with many boxes in the background.,There are shelves and in them boxes.,There are shelves stored boxes.
10,photo,two women wear the same clothings,The two women are wearing similar uniforms.,Two women wears same clothing.,Two women wearing same clothings.
11,opinion,Because it becomes companies to save money.,First, it helps companies save money.,Because it becomes save money.,It becomes companies save money.
12,opinion,they cannot need to prepare dormitory,They do not need to provide office space for all employees.,They cannot need dormitory.,They do not need prepare dormitory.
13,opinion,they can spend their time with their family,They can spend more time with their families.,They can spend their times with family.,They can spending time with families.
14,opinion,It would be very, it makes them relax.,This helps them relax.,It makes them relaxedly.,It would be very relax.
15,opinion,Because companies can save their money.,Because companies can save money.,Because companies can saving money.,Because companies save the money.
16,opinion,without considering the place and time,regardless of time and location,without care place and time,without considering place times
17,opinion,it can lead to more opportunities to learn,it can create more learning opportunities,it leads many learn chance,it can make opportunity learn
18,opinion,what why we work is to make our lives comfortable,we work to make our lives more enjoyable,why we work is comfortable,work is make life comfort
19,opinion,we did not have limitation on money spending,we do not need to limit vacation spending,we do not have limitation spending,we no limit money vacation
20,photo,this is a picture of a conference,This picture was taken in a meeting room.,This picture is conference.,This is meeting picture.
21,photo,there are a woman holding a cup,There is a woman holding a cup.,There are woman holding cup.,There is women holding a cup.
22,photo,there are a man typing on his keyboard,There is a man using a laptop.,There are a man typing.,There is man using laptop.
23,photo,they are confronting each other,They are sitting across from each other.,They are confronting each.,They sit confronting each other.
24,photo,presenting with whiteboard,A woman is giving a presentation in front of a whiteboard.,She presenting whiteboard.,A woman presents with white board.
25,photo,three people are sitting in a table,Three people are sitting at a table.,Three people sitting in table.,Three people are on a table.
26,photo,This is a picture of Owen.,This picture was taken at an airport.,This is Owen picture.,This picture is Owen.
27,photo,the other man wear a blue uniform,the other man is wearing a blue uniform,the other man wear blue uniform,the other man wearing blue uniform
28,photo,checking what the other man do,checking the man's bag,checking what the man do,checking the other man doing
29,photo,one of the men is trying to open his bag,one man is opening his bag,one man trying open bag,one of men open his bag
30,info,the team activity begin at?,It begins at 2 p.m.,It begin at 2 p.m.,It begins in 2 p.m.
31,info,Customer service training,Customer service training is scheduled for Tuesday morning.,Customer service training on Tuesday morning is.,Customer service training schedule Tuesday.
32,info,I notice you the day which I cannot attend,I'm calling because I can't attend the Monday session.,I notice you I cannot attend.,I call you the day cannot attend.
33,info,because there I have a client meeting,because I have a client meeting that morning,because there have client meeting,because I am client meeting
34,info,Could I attend another schedule?,Could I attend another session instead?,Could I join another schedule?,Can I attend another schedule option?
35,opinion,learn basic knowledge about their job,learn basic job skills,learn basic knowledge job,learn jobs knowledge
36,opinion,activities which they are not familiar with,tasks they are unfamiliar with,activities they are unfamiliar,tasks which they not familiar
37,opinion,then these instructions may help them,training can help them perform better,instructions help them better,these instruction can help
38,photo,which gate they should go,which gate they should go to,which gate they should go,which gate should go
39,photo,watermelons are stocked,watermelons are displayed,watermelons are stocking,watermelons are stock
40,photo,discuss about their business,discuss their business,discussing about business,discuss about business
41,photo,the other man wear a blue uniform,the other man is wearing a blue uniform,the other man wear blue uniform,the other man wearing blue uniform
42,photo,check in their flight,check in for their flight,check their flight in,check in flight
43,photo,going other place,going to another place,go another place,going another place
44,photo,she is folding four bags,she is carrying four bags,she is folding bags,she carrying four bags
45,photo,there are clothings in the showcase,there is clothing in the showcase,there are clothings in showcase,there is clothes in showcase
46,opinion,this led to better quality,this can lead to better productivity,this lead productivity,this led better performance
47,opinion,spend more money to food,spend more money on healthy food,spend money to food,spend more money for food
48,opinion,that can lead to their healthy lives,that can lead to healthier lives,that leads healthy lives,that can lead healthy life
49,opinion,retire their work,retire from work,retire their job,retire work
50,opinion,pay extra fees,pay higher wages,pay extra fee,pay expensive fee
51,writing,in the train,on a train,in train,in the trains
52,writing,some customer are looking at menu,some customers are looking at a menu,some customer looking menu,some customers look menu
53,writing,receiving their luggage,picking up their luggage,receiving luggage,pick their luggage
54,writing,students and teachers are discussing,students and a teacher are discussing a topic,students and teacher discussing,students discuss
55,writing,some employees are carrying computers,some employees are using computers,some employees carry computers,some employees using computers
56,info,I notice you the day which I cannot attend,I'm calling because I can't attend the session,I notice I cannot attend,I call you cannot attend
57,info,Could I attend another schedule,Could I attend another session instead,Can I attend another schedule,Could I join another schedule
